UKPRN,HE provider,Academic Year,Level of study,Number
10000163.0,AECC University College,2020/21,Other undergraduate,0
10000163.0,AECC University College,2019/20,Postgraduate (research),0
10000163.0,AECC University College,2019/20,Postgraduate (taught),45
10000163.0,AECC University College,2019/20,First degree,570
10000163.0,AECC University College,2019/20,Other undergraduate,0
10000163.0,AECC University College,2018/19,Postgraduate (research),0
10000163.0,AECC University College,2018/19,Postgraduate (taught),75
10000163.0,AECC University College,2018/19,First degree,435
10000163.0,AECC University College,2018/19,Other undergraduate,0
10000163.0,AECC University College,2017/18,Postgraduate (research),0
10000163.0,AECC University College,2017/18,Postgraduate (taught),75
10000163.0,AECC University College,2017/18,First degree,300
10000163.0,AECC University College,2017/18,Other undergraduate,0
10032036.0,Amity Global Education,2020/21,Postgraduate (research),0
10032036.0,Amity Global Education,2020/21,Postgraduate (taught),0
10032036.0,Amity Global Education,2020/21,First degree,75
10032036.0,Amity Global Education,2020/21,Other undergraduate,0
10032036.0,Amity Global Education,2019/20,Postgraduate (research),0
10032036.0,Amity Global Education,2019/20,Postgraduate (taught),5
10032036.0,Amity Global Education,2019/20,First degree,45
10032036.0,Amity Global Education,2019/20,Other undergraduate,0
10032036.0,Amity Global Education,2018/19,Postgraduate (research),10
10032036.0,Amity Global Education,2018/19,Postgraduate (taught),30
10032036.0,Amity Global Education,2018/19,First degree,30
10032036.0,Amity Global Education,2018/19,Other undergraduate,0
10000291.0,Anglia Ruskin University,2020/21,Postgraduate (research),450
10000291.0,Anglia Ruskin University,2020/21,Postgraduate (taught),3635
10000291.0,Anglia Ruskin University,2020/21,First degree,20650
10000291.0,Anglia Ruskin University,2020/21,Other undergraduate,800
10000291.0,Anglia Ruskin University,2019/20,Postgraduate (research),455
10000291.0,Anglia Ruskin University,2019/20,Postgraduate (taught),2530
10000291.0,Anglia Ruskin University,2019/20,First degree,17650
10000291.0,Anglia Ruskin University,2019/20,Other undergraduate,1045
10000291.0,Anglia Ruskin University,2018/19,Postgraduate (research),455
10000291.0,Anglia Ruskin University,2018/19,Postgraduate (taught),2125
10000291.0,Anglia Ruskin University,2018/19,First degree,16235
10000291.0,Anglia Ruskin University,2018/19,Other undergraduate,1115
10000291.0,Anglia Ruskin University,2017/18,Postgraduate (research),460
10000291.0,Anglia Ruskin University,2017/18,Postgraduate (taught),1960
10000291.0,Anglia Ruskin University,2017/18,First degree,15495
10000291.0,Anglia Ruskin University,2017/18,Other undergraduate,1210
10000291.0,Anglia Ruskin University,2016/17,Postgraduate (research),480
10000291.0,Anglia Ruskin University,2016/17,Postgraduate (taught),1850
10000291.0,Anglia Ruskin University,2016/17,First degree,14650
10000291.0,Anglia Ruskin University,2016/17,Other undergraduate,1500
10000291.0,Anglia Ruskin University,2015/16,Postgraduate (research),485
10000291.0,Anglia Ruskin University,2015/16,Postgraduate (taught),1545
10000291.0,Anglia Ruskin University,2015/16,First degree,13390
10000291.0,Anglia Ruskin University,2015/16,Other undergraduate,1465
10000291.0,Anglia Ruskin University,2014/15,Postgraduate (research),400
10000291.0,Anglia Ruskin University,2014/15,Postgraduate (taught),1535
10000291.0,Anglia Ruskin University,2014/15,First degree,12535
10000291.0,Anglia Ruskin University,2014/15,Other undergraduate,1465
